,0
126,0.54144514
127,0.1786678
128,0.1316395
129,0.1316395
130,0.15094778
131,0.1786678
132,0.10628979
133,0.10628979
134,0.1499308
135,0.41603926
136,0.1786678
137,0.1786678
138,0.47834632
139,0.6608879
140,0.1786678
141,0.1786678
142,0.1786678
143,0.1786678
144,0.1015736
145,0.1015736
146,0.45393607
147,0.54572916
148,0.1015736
149,0.1015736
150,0.1015736
151,0.15064509
152,0.14813422
153,0.1015736
154,0.1015736
155,0.1015736
156,0.1015736
157,0.1015736
158,0.1015736
159,0.5592313
160,0.20753147
161,0.6321845
162,0.10301403
163,0.10301403
164,0.10301403
165,0.1786678
166,0.10449046
167,0.10449046
168,0.116222985
169,0.11187102
170,0.10301403
171,0.10301403
172,0.11187102
173,0.11187102
174,0.7115352
175,0.10614067
176,0.10614067
177,0.10614067
178,0.2692329
179,0.2692329
180,0.32054448
181,0.1786678
182,0.1958974
183,0.1958974
184,0.1786678
185,0.41249496
186,0.41249496
187,0.49830055
188,0.46194535
189,0.7603795
190,0.8603326
191,0.7486468
192,0.73563576
193,0.10301403
194,0.10301403
195,0.11187102
196,0.11187102
197,0.1786678
198,0.26239777
199,0.1015736
200,0.1015736
201,0.1015736
202,0.1786678
203,0.1015736
204,0.1015736
205,0.13149488
206,0.10301403
207,0.10301403
208,0.10301403
209,0.1015736
210,0.1015736
211,0.1015736
212,0.11017134
213,0.1015736
214,0.1015736
215,0.10301403
216,0.10301403
217,0.10301403
218,0.10872056
219,0.10872056
220,0.10706298
221,0.5175636
222,0.1786678
223,0.1015736
224,0.1015736
225,0.10301403
226,0.10301403
227,0.10301403
228,0.1786678
229,0.15470739
230,0.15470739
231,0.1333732
232,0.1333732
233,0.1333732
234,0.108358055
235,0.108358055
236,0.108358055
237,0.10449046
238,0.10449046
239,0.10449046
240,0.10301403
241,0.1015736
242,0.1015736
243,0.19034095
244,0.19034095
245,0.19034095
246,0.1786678
247,0.11969822
248,0.11969822
249,0.10614067
250,0.19239782
251,0.1786678
252,0.10301403
253,0.10301403
254,0.107190944
255,0.1786678
256,0.1316395
257,0.1316395
258,0.3575452
259,0.1786678
260,0.1015736
261,0.1015736
262,0.29952642
263,0.1786678
264,0.1015736
265,0.1015736
266,0.1015736
267,0.1015736
268,0.1015736
269,0.17254297
270,0.1786678
271,0.16948606
272,0.16948606
273,0.14918523
274,0.11738172
275,0.11738172
276,0.11738172
277,0.1786678
278,0.1015736
279,0.1015736
280,0.31421408
281,0.2570298
282,0.10301403
283,0.10301403
284,0.10301403
285,0.11187102
286,0.10628979
287,0.10628979
288,0.10628979
289,0.25031632
290,0.25031632
291,0.25031632
292,0.2664578
293,0.10301403
294,0.12272832
295,0.12272832
296,0.1786678
297,0.1015736
298,0.1015736
299,0.3844246
300,0.3844246
301,0.3844246
302,0.52055234
303,0.14679778
304,0.14679778
305,0.14679778
306,0.1786678
307,0.1786678
308,0.1786678
309,0.1786678
310,0.1786678
311,0.1786678
312,0.1015736
313,0.1015736
314,0.11017134
315,0.2167906
316,0.1786678
317,0.20661762
318,0.20661762
319,0.33784083
320,0.4546812
321,0.1786678
322,0.10628979
323,0.10628979
324,0.11187102
325,0.11187102
326,0.2902783
327,0.2902783
328,0.2902783
329,0.41249496
330,0.33327812
331,0.1015736
332,0.1015736
333,0.1015736
334,0.6671197
335,0.5485715
336,0.1786678
337,0.1786678
338,0.1786678
339,0.11017134
340,0.1786678
341,0.1015736
342,0.1015736
343,0.44361848
344,0.10301403
345,0.10301403
346,0.10301403
347,0.11187102
348,0.1015736
349,0.1015736
350,0.1015736
351,0.15940937
352,0.15940937
353,0.15940937
354,0.1786678
355,0.1316395
356,0.1316395
357,0.18958315
358,0.1786678
359,0.10872056
360,0.10872056
361,0.16137262
362,0.19184676
363,0.1015736
364,0.1015736
365,0.1015736
366,0.16029602
367,0.16029602
368,0.16029602
369,0.122191094
370,0.122191094
371,0.122191094
372,0.10449046
373,0.10449046
374,0.10449046
375,0.10301403
376,0.10301403
377,0.1295039
378,0.2381351
379,0.1786678
380,0.117755644
381,0.117755644
382,0.116222985
383,0.10301403
384,0.10301403
385,0.10301403
386,0.10301403
387,0.10301403
388,0.10301403
389,0.1015736
390,0.1015736
391,0.1015736
392,0.1786678
393,0.1015736
394,0.1015736
395,0.16274989
396,0.42480487
397,0.33627886
398,0.6244175
399,0.5292219
400,0.16529205
401,0.16529205
402,0.16529205
403,0.57341075
404,0.10301403
405,0.10301403
406,0.10301403
407,0.3979588
408,0.38952702
409,0.485773
410,0.12958656
411,0.12958656
412,0.12958656
413,0.10301403
414,0.10301403
415,0.10301403
416,0.11058374
417,0.11058374
418,0.11058374
419,0.1015736
420,0.1015736
421,0.1015736
422,0.1786678
423,0.1015736
424,0.1015736
425,0.16123578
426,0.27043942
427,0.67251796
428,0.1786678
429,0.1786678
430,0.10301403
431,0.10301403
432,0.10301403
433,0.10301403
434,0.10301403
435,0.10301403
436,0.1786678
437,0.10628979
438,0.10628979
439,0.16227444
440,0.16227444
441,0.16227444
442,0.1786678
443,0.108358055
444,0.108358055
445,0.1786678
446,0.1015736
447,0.1015736
448,0.11017134
449,0.1015736
450,0.1015736
451,0.1015736
452,0.368232
453,0.1786678
454,0.10449046
455,0.10449046
456,0.1786678
457,0.1786678
458,0.1786678
459,0.1786678
460,0.1015736
461,0.1015736
462,0.11017134
463,0.11058374
464,0.11058374
465,0.11058374
466,0.12000447
467,0.1786678
468,0.1786678
469,0.1786678
470,0.1786678
471,0.1015736
472,0.1015736
473,0.11017134
474,0.10301403
475,0.10301403
476,0.10301403
477,0.10301403
478,0.10301403
479,0.10301403
480,0.10872056
481,0.10872056
482,0.2195481
483,0.1786678
484,0.10301403
485,0.10301403
486,0.118003644
487,0.118003644
488,0.118003644
489,0.13931778
490,0.13931778
491,0.13931778
492,0.1786678
493,0.1015736
494,0.1015736
495,0.11017134
496,0.14392674
497,0.1786678
498,0.1978971
499,0.1978971
500,0.37876436
501,0.522017
502,0.10628979
503,0.10628979
504,0.10628979
505,0.1015736
506,0.1015736
507,0.1015736
508,0.1786678
509,0.1015736
510,0.1015736
511,0.11017134
512,0.4099297
513,0.1786678
514,0.1015736
515,0.1015736
516,0.1015736
517,0.1015736
518,0.1015736
519,0.1015736
520,0.1015736
521,0.1015736
522,0.44687316
523,0.38248718
524,0.1015736
525,0.1015736
526,0.1786678
527,0.1786678
528,0.1786678
529,0.1015736
530,0.1015736
531,0.19477214
532,0.19477214
533,0.10301403
534,0.10301403
535,0.10301403
536,0.1786678
537,0.1015736
538,0.1015736
539,0.1015736
540,0.10301403
541,0.10301403
542,0.10301403
543,0.1786678
544,0.16157031
545,0.16157031
546,0.1786678
547,0.1786678
548,0.1786678
549,0.10301403
550,0.10301403
551,0.10301403
552,0.54079294
553,0.51171035
554,0.37888467
555,0.14639884
556,0.10301403
557,0.10301403
558,0.10301403
559,0.30148354
560,0.2622837
561,0.10301403
562,0.10301403
563,0.10301403
564,0.10628979
565,0.12831853
566,0.12831853
567,0.23509818
568,0.1786678
569,0.1786678
570,0.1786678
